id,name,country,university_id,eligibility,coverage,amount_per_year_usd,deadline,link,notes,status
11,Hong Kong PhD Fellowship Scheme,Hong Kong,,Open to international applicants for full-time PhD at Hong Kong universities; requires exceptional academic record and research potential,Full tuition + annual stipend + conference allowance,35000,Dec 2026,https://www.rgc.edu.hk/hkphdfs,"Established by Hong Kong Research Grants Council; eight participating universities",approx
12,Vanier Canada Graduate Scholarship,Canada,,Open to international doctoral students studying at Canadian universities; requires outstanding academic excellence and leadership,Stipend only (no tuition),50000,Sep 2026,https://vanier.gc.ca,Canadian government doctoral scholarship for three years,approx
13,Lester B. Pearson International Scholarship (University of Toronto),Canada,,Open to international students nominated by their school; requires outstanding academic achievement and leadership,Full tuition + living costs + books,40000,Nov 2026,https://future.utoronto.ca,"University of Toronto's most prestigious entrance scholarship",approx
14,University of British Columbia International Scholars,Canada,,Open to international students entering undergraduate programs at UBC; based on academic merit,Up to full tuition,30000,Dec 2026,https://you.ubc.ca,Includes International Major Entrance Scholarship and others,approx
15,Turkiye Burslari,Multiple (Turkey),,Open to international students worldwide for undergraduate, graduate and PhD study; requires strong academic record,Full tuition + monthly stipend + accommodation + airfare,12000,Feb 2027,https://www.turkiyeburslari.gov.tr,Turkish government flagship scholarship,approx
16,Chinese Government Scholarship (CSC),China,,Open to international students for study in China; requires nomination by Chinese embassy or designated university,Full tuition + accommodation + monthly stipend + medical insurance,10000,Dec 2026,https://www.campuschina.org,Administered by China Scholarship Council,approx
17,Swiss Government Excellence Scholarship,Switzerland,,Open to graduate students and researchers from selected countries; requires Masters degree for PhD applicants,Monthly stipend + tuition exemption,25000,Nov 2026,https://www.sbfi.admin.ch,Swiss Confederation scholarships for research and arts,approx
18,Eiffel Excellence Scholarship,France,,Open to international students up to 25 years old for Masters; requires application through French partner universities,Monthly stipend + travel + health insurance (no tuition),12000,Jan 2027,https://www.campusfrance.org,French government program for top international students,approx
19,Holland Scholarship,Netherlands,,Open to non-EEA students for bachelor's or master's at participating Dutch universities,One-time grant of EUR 5000,5500,Feb 2027,https://www.studyinholland.nl,Funded by Dutch Ministry of Education and participating institutions,approx
20,Manaaki New Zealand Scholarship,New Zealand,,Open to citizens of selected countries in Asia, Africa, Latin America and the Pacific; requires work experience,Full tuition + living allowance + airfare + insurance,35000,Feb 2027,https://www.nzscholarships.govt.nz,New Zealand government development scholarship,approx
21,NUS Graduate Scholarship (National University of Singapore),Singapore,,Open to international students for research Masters and PhD at NUS; requires strong academic record,Full tuition + monthly stipend,25000,Dec 2026,https://www.nus.edu.sg,NUS research scholarship; monthly stipend around SGD 2200,approx
22,SUTD Undergraduate Scholarship,Singapore,,Open to international students with outstanding academic performance entering SUTD undergraduate programs,Full tuition + stipend,25000,Feb 2027,https://www.sutd.edu.sg,SUTD Singapore scholarship for undergraduate study,approx
23,KAUST Fellowship,Multiple (Saudi Arabia),,Open to international students for MSc and PhD at King Abdullah University of Science and Technology; requires strong academic background,Full tuition + monthly stipend + housing + medical coverage,35000,Jan 2027,https://www.kaust.edu.sa,Research-based graduate program in Saudi Arabia,approx
24,King Fahd University of Petroleum and Minerals Scholarship,Saudi Arabia,,Open to international graduate students at KFUPM; requires bachelor's degree with strong GPA,Full tuition + monthly stipend,18000,Rolling,https://www.kfupm.edu.sa,KFUPM graduate assistantships,approx
25,HEC Pakistan Foreign Scholarship,Multiple,,Open to Pakistani nationals with strong academic record for Masters and PhD abroad; requires HEC eligibility criteria,Full tuition + stipend + airfare,25000,Jun 2026,https://www.hec.gov.pk,Higher Education Commission of Pakistan overseas scholarship,approx
26,Koc University Graduate Scholarship (Turkey),Turkey,,Open to international students for graduate programs at Koc University; based on academic merit,Full tuition + monthly stipend,20000,Mar 2027,https://gsse.ku.edu.tr,Koc University graduate fellowships,approx
27,Bilkent University Scholarship,Turkey,,Open to international students for undergraduate and graduate study at Bilkent University; based on academic merit,Full or partial tuition waiver,12000,May 2026,https://www.bilkent.edu.tr,Bilkent merit scholarships for international students,approx
28,Global Korea Scholarship (GKS),South Korea,,Open to international students for undergraduate and graduate study in Korea; requires nomination through Korean embassy or university,Full tuition + monthly stipend + airfare + language training,20000,Mar 2027,https://www.studyinkorea.go.kr,South Korean government scholarship (formerly KGSP),approx
29,Romanian Government Scholarship,Romania,,Open to citizens of non-EU countries for bachelor's, master's and PhD in Romanian universities,Full tuition + monthly stipend + accommodation,6000,Mar 2027,https://www.studyinromania.com,Scholarships awarded by Ministry of Foreign Affairs,approx
30,Finnish Government Scholarship / Aalto University,Finland,,Open to international students applying to Finnish universities; requires admission to eligible program,Partial tuition waiver,9000,Jan 2027,https://www.studyinfinland.fi,Finnish institutions offer tuition-based scholarships for non-EU students,approx
31,Swedish Institute Scholarships,Sweden,,Open to international students from selected countries for Masters in Sweden; requires strong academic record and work experience,Full tuition + monthly stipend + travel grant,20000,Jan 2027,https://www.si.se,Swedish Institute study scholarships for global professionals,approx
32,Erasmus Mundus International Master Courses,Multiple (EU),,Open to students worldwide for fully-funded Joint Master courses; requires bachelor's degree,Full tuition + monthly stipend + travel,22000,Jan 2026,https://www.eacea.ec.europa.eu,Scholarships for specific joint programmes,approx
33,Ambedkar Overseas Scholarship,India,,Open to Indian nationals from reserved categories for postgraduate study abroad; requires admission to top foreign universities,Full tuition + living costs,25000,Feb 2027,https://socialjustice.gov.in,Ministry of Social Justice and Empowerment scheme,approx
34,Melbourne International Undergraduate Scholarship,Australia,,Open to high-achieving international students for undergraduate study at University of Melbourne,Up to full tuition (50-100% tuition),25000,Jan 2027,https://scholarships.unimelb.edu.au,University of Melbourne merit scholarships,approx
35,Monash International Merit Scholarship,Australia,,Open to international students with strong academic results entering Monash University undergraduate programs,AUD 10000 per year for 48 units,7000,Oct 2026,https://www.monash.edu,Monash University international scholarship,approx
36,UNSW International Scholarship,Australia,,Open to international students with strong academic record entering UNSW programs,Partial tuition fee reduction,12000,Nov 2026,https://www.unsw.edu.au,UNSW Sydney international scholarships,approx
37,University of Sydney International Scholarship,Australia,,Open to high-achieving international students at University of Sydney,Up to full tuition for research; partial for coursework,25000,Sep 2026,https://www.sydney.edu.au,USYD research and coursework scholarships,approx
38,Deakin International Scholarship,Australia,,Open to international students entering Deakin University with strong academic results,25% tuition fee reduction,7500,Dec 2026,https://www.deakin.edu.au,Deakin University international bursary,approx
39,UCD Global Scholarship,Ireland,,Open to international non-EU students entering University College Dublin undergraduate programs,Up to 50% tuition fee reduction,12000,Apr 2027,https://www.ucd.ie,UCD Global Excellence Scholarships,approx
40,Trinity College Dublin Excellence Scholarship,Ireland,,Open to international students entering Trinity College Dublin undergraduate study,Up to 50% tuition fee reduction,14000,Apr 2027,https://www.tcd.ie,TCD Global Excellence Scholarship,approx
41,Queen's University Belfast International Scholarship,United Kingdom,,Open to international students entering Queen's University Belfast programs,Up to 50% tuition fee discount,9000,Rolling,https://www.qub.ac.uk,QUB international office scholarships,approx
42,University of Birmingham Masters Scholarship,United Kingdom,,Open to international students for taught Masters at University of Birmingham,Up to GBP 2000 fee discount,2500,Apr 2027,https://www.birmingham.ac.uk,Birmingham Masters scholarships for international students,approx
43,Imperial College London President's Scholarships,United Kingdom,,Open to exceptional international PhD applicants at Imperial College London,Full tuition + annual stipend,40000,Nov 2026,https://www.imperial.ac.uk,Research scholarship for outstanding doctoral candidates,approx
44,University of Edinburgh Scholarships,United Kingdom,,Open to international students entering Edinburgh postgraduate or undergraduate programs,Various fee waivers,8000,Mar 2027,https://www.ed.ac.uk,Includes master's scholarships for international students,approx
45,University of Oxford Reach Oxford Scholarship,United Kingdom,,Open to students from lower-income countries for undergraduate study at Oxford,Full tuition + college fees + living costs,40000,Jan 2027,https://www.ox.ac.uk,Undergraduate scholarship for students from developing countries,approx
46,Sciences Po Eiffel Scholarship,France,,Open to international students applying to Sciences Po master's programs; based on academic merit,Full or partial tuition waiver,14000,Dec 2026,https://www.sciencespo.fr,Sciences Po France graduate scholarships,approx
47,Uppsala University IPK Scholarship,Sweden,,Open to international students applying for master's at Uppsala University; requires strong academic record,Full tuition fee waiver,12000,Jan 2027,https://www.uu.se,Uppsala University international tuition scholarships,approx
48,University of Oslo International Scholarships,Norway,,Open to international students for certain master's programs at University of Oslo,Full tuition + living stipend (varies by program),15000,Dec 2026,https://www.uio.no,Oslo tuition scholarships for selected programs,approx
49,Singapore Management University Scholarship,Singapore,,Open to international students with strong academic and leadership record at SMU,Full or partial tuition + stipend,25000,Mar 2027,https://www.smu.edu.sg,SMU merit scholarships for undergraduates,approx
50,Yale University International Scholarships,United States,,Open to international students admitted to Yale College; based on financial need demonstrated via CSS Profile,Up to full demonstrated need financial aid,70000,Dec 2026,https://www.yale.edu,Yale need-based aid for international undergraduates,approx
