id,name,country,city,rank_world,intake_seasons,ielts_min,pte_min,toefl_min,gpa_requirement,tuition_fees,tuition_min_usd,tuition_max_usd,application_fee,documents_required,deadlines,official_website,admissions_page,notes,status
19,Ohio State University,USA,Columbus,94,Fall/Spring,6.5,58,79,3.4/4.0,"USD 33,000-36,000/year (out-of-state)",33000,36000,USD 60,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov (EA) / Jan (RD),https://www.osu.edu,https://admissions.osu.edu,Large flagship with many majors,approx
20,University of Florida,USA,Gainesville,98,Fall/Spring,6.5,58,80,3.6/4.0,"USD 29,000-31,000/year (out-of-state)",29000,31000,USD 30,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov,https://www.ufl.edu,https://admissions.ufl.edu,Public Ivy at lower cost,approx
21,Illinois Institute of Technology (IIT),USA,Chicago,385,Fall/Spring,6.5,58,80,3.0/4.0,"USD 45,000-48,000/year",45000,48000,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Jan / Spring: Oct,https://www.iit.edu,https://www.iit.edu/admissions,High merit scholarships for internationals,approx
22,San Jose State University,USA,San Jose,1421,Fall/Spring,6.0,50,80,3.0/4.0,"USD 21,000-24,000/year (out-of-state)",21000,24000,USD 70,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Apr / Spring: Sep,https://www.sjsu.edu,https://www.sjsu.edu/admissions,Located in Silicon Valley; strong tech placement,approx
23,University of Oxford,United Kingdom,Oxford,1,Fall/Spring,7.0,66,100,A*AA - AAA (A-levels),"GBP 30,000-40,000/year",22500,30000,GBP 75,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Oct 15,https://www.ox.ac.uk,https://www.ox.ac.uk/admissions/undergraduate,Collegiate system; interviews required,verified
24,University of Cambridge,United Kingdom,Cambridge,2,Fall/Spring,7.0,66,100,A*AA - AAA (A-levels),"GBP 30,000-38,000/year",22500,28500,GBP 60,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Oct 15,https://www.cam.ac.uk,https://www.undergraduate.study.cam.ac.uk,Collegiate system; written assessment,verified
25,Imperial College London,United Kingdom,London,6,Fall/Spring,7.0,65,100,AAA - A*AA (A-levels),"GBP 35,000-40,000/year",26500,30000,GBP 75,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Oct 15,https://www.imperial.ac.uk,https://www.imperial.ac.uk/study,STEM specialist; strong for engineering,approx
26,University College London (UCL),United Kingdom,London,9,Fall/Spring,6.5,62,92,ABB - AAA (A-levels),"GBP 29,000-35,000/year",22000,26500,GBP 90,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.ucl.ac.uk,https://www.ucl.ac.uk/prospective-students,Wide range of programs,approx
27,London School of Economics (LSE),United Kingdom,London,45,Fall/Spring,7.0,66,100,AAB - AAA (A-levels),"GBP 25,000-30,000/year",19000,22500,GBP 80,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.lse.ac.uk,https://www.lse.ac.uk/study,Social sciences focused,approx
28,University of Edinburgh,United Kingdom,Edinburgh,27,Fall/Spring,6.5,62,92,ABB - AAA (A-levels),"GBP 24,000-30,000/year",18000,22500,GBP 22,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.ed.ac.uk,https://www.ed.ac.uk/studying,Beautiful city; strong research,approx
29,University of Manchester,United Kingdom,Manchester,32,Fall/Spring,6.5,60,90,BBB - AAB (A-levels),"GBP 24,000-29,000/year",18000,22000,GBP 25,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.manchester.ac.uk,https://www.manchester.ac.uk/study,Large international student body,approx
30,King's College London,United Kingdom,London,35,Fall/Spring,7.0,65,100,BBB - AAA (A-levels),"GBP 25,000-30,000/year",19000,22500,GBP 20,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.kcl.ac.uk,https://www.kcl.ac.uk/study,Central London; health and law strengths,approx
31,University of Bristol,United Kingdom,Bristol,61,Fall/Spring,6.5,62,90,ABB - A*AA (A-levels),"GBP 24,000-28,000/year",18000,21000,GBP 24,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.bristol.ac.uk,https://www.bristol.ac.uk/study,Redbrick university; strong engineering,approx
32,University of Warwick,United Kingdom,Coventry,62,Fall/Spring,6.5,60,92,AAB - A*AA (A-levels),"GBP 25,000-30,000/year",19000,22500,GBP 24,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://warwick.ac.uk,https://warwick.ac.uk/study,Strong business and maths,approx
33,University of Glasgow,United Kingdom,Glasgow,76,Fall/Spring,6.5,60,90,BBB - AAB (A-levels),"GBP 22,000-27,000/year",16500,20500,GBP 26,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.gla.ac.uk,https://www.gla.ac.uk/study,Historic Scottish university,approx
34,University of Leeds,United Kingdom,Leeds,81,Fall/Spring,6.5,60,87,BBB - AAB (A-levels),"GBP 22,000-27,000/year",16500,20500,GBP 25,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.leeds.ac.uk,https://www.leeds.ac.uk/study,Strong arts and engineering,approx
35,University of Sheffield,United Kingdom,Sheffield,105,Fall/Spring,6.5,60,88,BBB - AAB (A-levels),"GBP 22,000-26,000/year",16500,19500,GBP 22,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.sheffield.ac.uk,https://www.sheffield.ac.uk/study,Steel City; strong engineering,approx
36,University of Birmingham,United Kingdom,Birmingham,84,Fall/Spring,6.5,60,88,BBB - AAB (A-levels),"GBP 22,000-26,000/year",16500,19500,GBP 24,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.birmingham.ac.uk,https://www.birmingham.ac.uk/study,Large campus university,approx
37,University of Nottingham,United Kingdom,Nottingham,100,Fall/Spring,6.5,60,90,BBB - AAB (A-levels),"GBP 22,000-26,000/year",16500,19500,GBP 26,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.nottingham.ac.uk,https://www.nottingham.ac.uk/study,Has Malaysia and China campuses,approx
38,Queen Mary University of London,United Kingdom,London,122,Fall/Spring,6.5,60,92,BBB - AAB (A-levels),"GBP 24,000-28,000/year",18000,21000,GBP 22,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.qmul.ac.uk,https://www.qmul.ac.uk/study,Russell Group in London,approx
39,University of Liverpool,United Kingdom,Liverpool,176,Fall/Spring,6.0,56,88,BBB - ABB (A-levels),"GBP 21,000-25,000/year",15800,18800,GBP 22,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.liverpool.ac.uk,https://www.liverpool.ac.uk/study,Affordable Russell Group option,approx
40,Cardiff University,United Kingdom,Cardiff,154,Fall/Spring,6.5,60,90,BBB - AAB (A-levels),"GBP 21,000-25,000/year",15800,18800,GBP 22,"Academic transcripts, English proficiency, Passport copy, Personal statement, Reference letters, CAS for visa",Fall: Jan,https://www.cardiff.ac.uk,https://www.cardiff.ac.uk/study,Wales' leading research university,approx
41,University of Toronto,Canada,Toronto,25,Fall/Spring,6.5,60,89,75-85% (regional),"CAD 45,000-60,000/year (international)",33000,44000,CAD 120,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Jan (rolling),https://www.utoronto.ca,https://www.utoronto.ca/admissions,Top Canadian research university,approx
42,University of British Columbia (UBC),Canada,Vancouver,40,Fall/Spring,6.5,60,90,75-85% (regional),"CAD 40,000-55,000/year (international)",29000,40000,CAD 125,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Jan,https://www.ubc.ca,https://you.ubc.ca,Beautiful Vancouver campus; strong scholarships,approx
43,McGill University,Canada,Montreal,29,Fall/Spring,6.5,60,90,85%+ competitive,"CAD 42,000-55,000/year (international)",31000,40000,CAD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Jan,https://www.mcgill.ca,https://www.mcgill.ca/undergraduate-admissions,Research intensive; French-English city,approx
44,University of Alberta,Canada,Edmonton,119,Fall/Spring,6.5,61,90,70-80% (regional),"CAD 27,000-35,000/year (international)",20000,26000,CAD 130,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Mar (rolling),https://www.ualberta.ca,https://www.ualberta.ca/admissions,Strong engineering and sciences,approx
45,University of Waterloo,Canada,Waterloo,112,Fall/Spring,6.5,62,90,80-90% (regional),"CAD 45,000-55,000/year (international)",33000,40000,CAD 130,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Feb,https://uwaterloo.ca,https://uwaterloo.ca/find-out-more/admissions,Famous co-op program,approx
46,Western University,Canada,London,210,Fall/Spring,6.5,60,90,80%+ (regional),"CAD 38,000-45,000/year (international)",28000,33000,CAD 130,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Feb (rolling),https://www.uwo.ca,https://www.uwo.ca/admissions,Ivey business school pathway,approx
47,McMaster University,Canada,Hamilton,168,Fall/Spring,6.5,60,90,80%+ (regional),"CAD 35,000-45,000/year (international)",26000,33000,CAD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Feb (rolling),https://www.mcmaster.ca,https://www.mcmaster.ca/future-students,Strong health sciences,approx
48,University of Calgary,Canada,Calgary,187,Fall/Spring,6.5,60,90,75-85% (regional),"CAD 25,000-35,000/year (international)",18000,26000,CAD 130,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Feb (rolling),https://www.ucalgary.ca,https://www.ucalgary.ca/future-students,Growing engineering sector city,approx
49,University of Ottawa,Canada,Ottawa,213,Fall/Spring,6.5,60,90,75-85% (regional),"CAD 28,000-38,000/year (international)",20000,28000,CAD 110,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Apr (rolling),https://www.uottawa.ca,https://www.uottawa.ca/prospective-students,Bilingual university in capital,approx
50,University of Saskatchewan,Canada,Saskatoon,340,Fall/Spring,6.5,60,86,70-80% (regional),"CAD 25,000-33,000/year (international)",18000,24000,CAD 90,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: May (rolling),https://www.usask.ca,https://admissions.usask.ca,Affordable; agriculture and engineering,approx
51,Simon Fraser University (SFU),Canada,Burnaby,328,Fall/Spring,6.5,60,88,80%+ (regional),"CAD 32,000-40,000/year (international)",23000,29000,CAD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Jan (rolling),https://www.sfu.ca,https://www.sfu.ca/students/admission,Co-op and CS strengths,approx
52,Dalhousie University,Canada,Halifax,302,Fall/Spring,6.5,60,90,70-80% (regional),"CAD 30,000-38,000/year (international)",22000,28000,CAD 90,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Mar (rolling),https://www.dal.ca,https://www.dal.ca/admissions,East coast; reasonable cost,approx
53,York University,Canada,Toronto,353,Fall/Spring,6.5,60,88,70-80% (regional),"CAD 30,000-38,000/year (international)",22000,28000,CAD 120,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Study permit after offer",Fall: Feb (rolling),https://www.yorku.ca,https://futurestudents.yorku.ca,Large; strong business/law,approx
54,University of Melbourne,Australia,Melbourne,13,Fall/Spring,6.5,58,79,85%+ (competitive),"AUD 40,000-50,000/year",26000,32500,AUD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov (close) / Intake 2: Apr,https://www.unimelb.edu.au,https://study.unimelb.edu.au,Melbourne Model degrees,approx
55,University of Sydney,Australia,Sydney,18,Fall/Spring,6.5,58,85,80%+ (competitive),"AUD 45,000-55,000/year",29000,36000,AUD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.sydney.edu.au,https://www.sydney.edu.au/study,Historic campus; strong humanities,approx
56,University of New South Wales (UNSW),Australia,Sydney,19,Fall/Spring,6.5,64,90,80%+ (competitive),"AUD 44,000-52,000/year",29000,34000,AUD 125,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.unsw.edu.au,https://www.unsw.edu.au/study,Engineering and commerce focus,approx
57,Australian National University (ANU),Australia,Canberra,30,Fall/Spring,6.5,60,80,80%+ (competitive),"AUD 42,000-50,000/year",27000,32500,AUD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.anu.edu.au,https://www.anu.edu.au/study,Research-focused; in capital,approx
58,Monash University,Australia,Melbourne,37,Fall/Spring,6.5,58,79,75%+,"AUD 40,000-48,000/year",26000,31000,AUD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.monash.edu,https://www.monash.edu/study,Has Malaysia campus too,approx
59,University of Queensland (UQ),Australia,Brisbane,40,Fall/Spring,6.5,58,87,75%+,"AUD 38,000-48,000/year",25000,31000,AUD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.uq.edu.au,https://study.uq.edu.au,Brisbane lifestyle; strong research,approx
60,University of Adelaide,Australia,Adelaide,89,Fall/Spring,6.5,58,79,70%+,"AUD 36,000-45,000/year",23500,29000,AUD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.adelaide.edu.au,https://www.adelaide.edu.au/study,Group of Eight; affordable living,approx
61,University of Western Australia (UWA),Australia,Perth,92,Fall/Spring,6.5,58,82,75%+,"AUD 36,000-46,000/year",23500,30000,AUD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.uwa.edu.au,https://www.uwa.edu.au/study,Perth; mining/energy links,approx
62,University of Technology Sydney (UTS),Australia,Sydney,90,Fall/Spring,6.5,58,79,70%+,"AUD 38,000-45,000/year",25000,29000,AUD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.uts.edu.au,https://www.uts.edu.au/study,"Practical, city campus",approx
63,Queensland University of Technology (QUT),Australia,Brisbane,213,Fall/Spring,6.5,58,79,70%+,"AUD 33,000-42,000/year",21500,27500,AUD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.qut.edu.au,https://www.qut.edu.au/study,Industry connections,approx
64,Deakin University,Australia,Geelong,233,Fall/Spring,6.0,50,65,65%+,"AUD 32,000-40,000/year",21000,26000,AUD 55,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.deakin.edu.au,https://www.deakin.edu.au/study,Strong scholarships for internationals,approx
65,Griffith University,Australia,Brisbane,248,Fall/Spring,6.5,58,79,65%+,"AUD 32,000-40,000/year",21000,26000,AUD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.griffith.edu.au,https://www.griffith.edu.au/study,Good medical/dentistry programs,approx
66,Curtin University,Australia,Perth,194,Fall/Spring,6.5,58,79,65%+,"AUD 33,000-42,000/year",21500,27500,AUD 100,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, Confirmation of Enrolment (CoE)",Intake 1: Nov / Intake 2: Apr,https://www.curtin.edu.au,https://www.curtin.edu.au/study,Strong minerals and mining,approx
67,Technical University of Munich (TUM),Germany,Munich,26,Fall/Spring,6.5,65,88,Program dependent (Numerus Clausus),"EUR 0-3,000/semester (public, small admin fee)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: May | Summer: Jan,https://www.tum.de,https://www.tum.de/en/studies/degree-programs,Public; most bachelor programs tuition-free,verified
68,LMU Munich,Germany,Munich,32,Fall/Spring,6.5,65,88,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: Jul | Summer: Jan,https://www.lmu.de,https://www.lmu.de/en/study,Public; strong humanities and sciences,approx
69,RWTH Aachen University,Germany,Aachen,99,Fall/Spring,6.5,65,90,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: Jul | Summer: Jan,https://www.rwth-aachen.de,https://www.rwth-aachen.de/cms/-/en/Study,Top engineering university,approx
70,Karlsruhe Institute of Technology (KIT),Germany,Karlsruhe,119,Fall/Spring,6.5,62,90,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: Jul | Summer: Jan,https://www.kit.edu,https://www.kit.edu/english/studies.php,Strong CS and engineering,approx
71,Technical University of Berlin (TU Berlin),Germany,Berlin,147,Fall/Spring,6.5,62,87,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: May | Summer: Jan,https://www.tu.berlin,https://www.tu.berlin/en/studying,Public; Berlin lifestyle,approx
72,Heidelberg University,Germany,Heidelberg,60,Fall/Spring,6.0,50,85,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: Jul | Summer: Jan,https://www.uni-heidelberg.de,https://www.uni-heidelberg.de/en/studying,Germany's oldest university,approx
73,University of Freiburg,Germany,Freiburg,192,Fall/Spring,6.5,62,90,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: Jul | Summer: Jan,https://www.uni-freiburg.de,https://www.uni-freiburg.de/en/study,Excellence university,approx
74,University of Stuttgart,Germany,Stuttgart,230,Fall/Spring,6.5,62,90,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: Jul | Summer: Jan,https://www.uni-stuttgart.de,https://www.uni-stuttgart.de/en/studies,Strong aerospace and automotive,approx
75,Technical University of Darmstadt,Germany,Darmstadt,275,Fall/Spring,6.5,62,90,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: Jul | Summer: Jan,https://www.tu-darmstadt.de,https://www.tu-darmstadt.de/studieren/index.en.jsp,Strong in mechanical engineering,approx
76,University of Bonn,Germany,Bonn,100,Fall/Spring,6.5,62,90,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: Jul | Summer: Jan,https://www.uni-bonn.de,https://www.uni-bonn.de/en/studying,Excellence in mathematics,approx
77,University of Cologne,Germany,Cologne,169,Fall/Spring,6.0,50,85,Program dependent,"EUR 0-3,000/semester (public)",1500,3500,No fee / varies,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, APS certificate, Visa block account for study permit",Winter: Jul | Summer: Jan,https://www.uni-koeln.de,https://www.uni-koeln.de/en/studies,Large public university,approx
